uri,track_name,artist_uri,artist_name,album_uri,album_name,album_artist_uri,album_artist_name,album_release_date,album_image_url,disc_number,track_number,track_duration_ms,track_preview_url,explicit,popularity,isrc,added_by,added_at,itunes_identifier,guess_date
spotify:track:3pPtkupun3NGY1qm8D6UIZ,Back Door Santa,spotify:artist:7lffJlv0nRl0sIsHDmo0SB,Clarence Carter,spotify:album:7r20K314cjpVSBSWpAhM4N,Testifyin',spotify:artist:7lffJlv0nRl0sIsHDmo0SB,Clarence Carter,1969,https://i.scdn.co/image/ab67616d0000b273f07d2824090133465181aaf4,1,10,136466,https://p.scdn.co/mp3-preview/61118a7ac693542e4f17aa949bf3bb846c5b1b44?cid=9950ac751e34487dbbe027c4fd7f8e99,False,24,USAT20106236,spotify:user:,1970-01-01T00:00:00Z,1541833778.0,2024-10-17 21:32:42.971023
spotify:track:4Td8cV4kTd3zx7MeiAfR4M,Monkey Man,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,spotify:album:088HGHE7BhAMAy9fAApAGP,Let It Bleed,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,1969,https://i.scdn.co/image/ab67616d0000b273f9ea3c9947387b90a4eb7699,1,8,251425,https://p.scdn.co/mp3-preview/6290e553e54e96254d8fc5ca30448a503394a5e0?cid=9950ac751e34487dbbe027c4fd7f8e99,False,0,USA176910090,spotify:user:,2011-01-23T22:15:43Z,,2024-10-19 21:32:42.971023
spotify:track:36AlMHDBFwSsD3FQOy1R81,Try a Little Tenderness,spotify:artist:60df5JBRRPcnSpsIMxxwQm,Otis Redding,spotify:album:25uNcuL4dAoV62eKmr8Q0Y,Complete & Unbelievable: The Otis Redding Dictionary of Soul,spotify:artist:60df5JBRRPcnSpsIMxxwQm,Otis Redding,1966,https://i.scdn.co/image/ab67616d0000b273ffffe932598090498459b77c,1,5,201733,https://p.scdn.co/mp3-preview/af34706907d76ff5e20104c9b8fc4454006e5e58?cid=9950ac751e34487dbbe027c4fd7f8e99,False,62,USAT29902035,spotify:user:himym,2018-07-10T12:58:29Z,995810734.0,2024-10-11 21:32:42.971023
spotify:track:6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,7,185733,https://p.scdn.co/mp3-preview/c92aa1522f4d342468892d77a4e55e27356aa295?cid=9950ac751e34487dbbe027c4fd7f8e99,False,84,GBAYE0601696,spotify:user:,1970-01-01T00:00:00Z,,2024-10-14 21:32:42.971023
spotify:track:3TlIt0ReIxPsVZcOEivT5U,It's Not Unusual,spotify:artist:1T0wRBO0CK0vK8ouUMqEl5,Tom Jones,spotify:album:15rjWnMzpMTz2wJ67NzJRR,Along Came Jones,spotify:artist:1T0wRBO0CK0vK8ouUMqEl5,Tom Jones,1965,https://i.scdn.co/image/ab67616d0000b27337c9e9907888dea39387df7c,1,8,119800,https://p.scdn.co/mp3-preview/f17723085ec14102961588629e84d0f6bbadb8a6?cid=9950ac751e34487dbbe027c4fd7f8e99,False,72,GBF076520010,spotify:user:,1970-01-01T00:00:00Z,310564525.0,2024-10-18 21:32:42.971023
spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,spotify:album:72qrnM4yUNMDDlWiqKc8iY,Aftermath,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,1966,https://i.scdn.co/image/ab67616d0000b273bad7062c3fd2f2d037989694,1,1,202266,https://p.scdn.co/mp3-preview/1db9cec19ec2902b6071214ba3d8f5519f8593c6?cid=9950ac751e34487dbbe027c4fd7f8e99,False,82,USA176610020,spotify:user:,1970-01-01T00:00:00Z,,2024-10-08 21:32:42.971023
spotify:track:5ZBeML7Lf3FMEVviTyvi8l,Twist And Shout - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:3KzAvEXcqJKBF97HrXwlgf,Please Please Me (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1963,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df,1,14,155226,https://p.scdn.co/mp3-preview/9a1f08b072f0254df1968fafcaed7c8d60fa90f5?cid=9950ac751e34487dbbe027c4fd7f8e99,False,78,GBAYE0601423,spotify:user:,1970-01-01T00:00:00Z,,2024-10-12 21:32:42.971023
spotify:track:2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,spotify:album:2Q5MwpTmtjscaS34mJFXQQ,Out Of Our Heads,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,1965,https://i.scdn.co/image/ab67616d0000b27305c5be85b64eaff732f7cb0b,1,7,222813,https://p.scdn.co/mp3-preview/22782e4be2eb4daa12edd8882a894ffda3601b43?cid=9950ac751e34487dbbe027c4fd7f8e99,False,77,USA176510160,spotify:user:,1970-01-01T00:00:00Z,,2024-10-10 21:32:42.971023
spotify:track:0vk46qEN6DEzancOurslfM,Ma Che Freddo Fa,spotify:artist:37x1MqNXlCtuLLYSXYX7jA,Nada,spotify:album:484oWTby23satVIgHKMO0e,Nada,spotify:artist:37x1MqNXlCtuLLYSXYX7jA,Nada,1969,https://i.scdn.co/image/ab67616d0000b27323737713dfbd9fb00a2e2ab3,1,2,183626,https://p.scdn.co/mp3-preview/52ed3e8734454276a06815620c09773ffee086c5?cid=9950ac751e34487dbbe027c4fd7f8e99,False,55,ITB006900687,spotify:user:,1970-01-01T00:00:00Z,,2024-10-15 21:32:42.971023
spotify:track:3eAjS25afRXGFSyjPQo7l2,Bocca di rosa,spotify:artist:19HiWVd2g0XyJstBsbW2Qm,Fabrizio De André,spotify:album:7GmZv2K4fIf5uuqz4qIOth,Volume 1,spotify:artist:19HiWVd2g0XyJstBsbW2Qm,Fabrizio De André,1967,https://i.scdn.co/image/ab67616d0000b2738eeb336aff3e753c3359df51,1,8,185386,https://p.scdn.co/mp3-preview/b5c22b147c0e51140644bcc43483608047992261?cid=9950ac751e34487dbbe027c4fd7f8e99,False,54,ITB007070538,spotify:user:,1970-01-01T00:00:00Z,,2024-10-13 21:32:42.971023
spotify:track:4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,spotify:artist:3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,spotify:album:31q47gQszFt0CddSyMksgO,Willy And The Poor Boys (Expanded Edition),spotify:artist:3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,1969,https://i.scdn.co/image/ab67616d0000b2739f39192f9f8ca1c90847b3e5,1,6,140773,https://p.scdn.co/mp3-preview/3240fb7f732ebc6f9cc83df560dceeab925bba92?cid=9950ac751e34487dbbe027c4fd7f8e99,False,84,USC4R0817618,spotify:user:215jggoqy3fuc4zqw4mkirtuy,2024-10-02T19:49:07Z,,2024-10-07 21:32:42.971023
spotify:track:51FpzuGkRYXFgsE2zXt9av,When a Man Loves a Woman,spotify:artist:3rRmDmzPcAFwcUDvG5gBqO,Percy Sledge,spotify:album:0lj5tDBUt1i1b1Llobu23M,When a Man Loves a Woman,spotify:artist:3rRmDmzPcAFwcUDvG5gBqO,Percy Sledge,1966,https://i.scdn.co/image/ab67616d0000b2730c8a01bf197adb9859044775,1,1,173866,https://p.scdn.co/mp3-preview/1c17133c13efb6f81e032f983bc90085b11281ea?cid=9950ac751e34487dbbe027c4fd7f8e99,False,66,USAT29902050,spotify:user:11135692880,2018-09-03T04:53:30Z,,2024-10-09 21:32:42.971023
spotify:track:5y788ya4NvwhBznoDIcXwK,The Sound of Silence - Acoustic Version,spotify:artist:70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,spotify:album:5pnJrocLlZ3FWEbcr2PTz0,"Wednesday Morning, 3 A.M.",spotify:artist:70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,1964,https://i.scdn.co/image/ab67616d0000b2733b50c381e5f477c3cd066286,1,6,185413,https://p.scdn.co/mp3-preview/ce31ae784cc3a4a3958a6ae24e5a9d6d664b8508?cid=9950ac751e34487dbbe027c4fd7f8e99,False,77,USSM16401419,spotify:user:11135692880,2018-09-08T18:03:48Z,,2024-10-16 21:32:42.971023
